"from_name_mm","to_name_mm","to_name_mm_long","to_name_mm_long_fr"
"NoBlocC","NoBloc","NoBloc","NoBloc"
"pc1_.45","pc1Temp_x45","RC1 ~ temperature .-45","RC1 ~ température .-45"
"pc2_.45","pc2Prec_x45","RC2 ~ precipitations .-45","RC2 ~ précipitations .-45"
"pc1_46.","pc1Temp_46x","RC1 ~ temperature 46-.","RC1 ~ température 46-."
"pc2_46.","pc2Prec_46x","RC2 ~ precipitations 46-.","RC2 ~ précipitations 46-."
"soil_P1__Fv.AlP","soil_Fv.AlP","soil [Fv | Al,P]","sol [Fv | Al,P]"
"soil_P1__Al.P","soil_Al.P","soil [Al | P]","sol [Al | P]"
"soil_P2__FvAl.P","soil_FvAl.P","soil [Fv,Al | P]","sol [Fv,Al | P]"
"soil_P2__Fv.Al","soil_Fv.Al","soil [Fv | Al]","sol [Fv | Al]"
"Psol_imp","soil_P","soil P","sol P"
"AlsoilTot_imp","soil_Al","soil Al","sol Al"
"soil_K1__Fv.MgCaK","soil_Fv.MgCaK","soil [Fv | Mg,Ca,K]","sol [Fv | Mg,Ca,K]"
"soil_K1__MgCa.K","soil_MgCa.K","soil [Mg,Ca | K]","sol [Mg,Ca | K]"
"soil_K1__Mg.Ca","soil_Mg.Ca","soil [Mg | Ca]","sol [Mg | Ca]"
"soil_K2__FvMgCa.K","soil_FvMgCa.K","soil [Fv,Mg,Ca | K]","sol [Fv,Mg,Ca | K]"
"soil_K2__Fv.MgCa","soil_Fv.MgCa","soil [Fv | Mg,Ca]","sol [Fv | Mg,Ca]"
"Ksol_imp","soil_K","soil K","sol K"
"soilTypeIlr1.3","soilTypeIlr1_3","soil profile [Gleyed | Podzolized]","sol profil [Gley | Podzol]"
"soilTypeIlr2.3","soilTypeIlr2_3","soil profile  [Loamy gleyed | Sandy gleyed]","sol profil  [Gley loameux | Gley sableux]"
"soilTypeIlr1.5","soilTypeIlr1_5","soilTypeIlr1_5","soilTypeIlr1_5"
"soilTypeIlr2.5","soilTypeIlr2_5","soilTypeIlr2_5","soilTypeIlr2_5"
"soilTypeIlr3.5","soilTypeIlr3_5","soilTypeIlr3_5","soilTypeIlr3_5"
"soilTypeIlr4.5","soilTypeIlr4_5","soilTypeIlr4_5","soilTypeIlr4_5"
"soilTextIlr1","soilTextIlr1","soil texture [C | Clay,Silt,Sand]","sol texture [C | Argile,Sable,Limon]"
"soilTextIlr2","soilTextIlr2","soil texture [Clay | Silt,Sand]","sol texture [Argile | Sable,Limon]"
"soilTextIlr3","soilTextIlr3","soil texture [Silt | Sand]","sol texture [Limon | Sable]"
"MOsol_imp","soil_OM","soil OM","sol MO"
"Csol_imp","soil_C","soil C","sol C"
"pH1dans1_H2O_imp","soil_pH","soil pH","soil pH"
"PrecCrop.Five.Classes","PrecCrop.Five.Classes","Preceding crop","Culture précédente"
"LRC","LRC","Low-residue crops","Culture à peu de résidus"
"Grassland","Grassland","Grassland","Prairie"
"Legume","Legume","Legume","Légumineuse"
"HRC","HRC","High-residue crops","Culture à résidus abondants"
"Cereal","Cereal","Small grain","Céréales"
"Maturity.Order","Maturity.Order","Maturity order","Ordre de maturité"
"growing.season","growing.season","Growing season","Saison de croissance"
"leaf3_Fv.MgCaKPN","leaf3_Fv.MgCaKPN","leaf ionome [Fv | Mg,Ca,K,P,N]","ionome foliaire [Fv | Mg,Ca,K,P,N]"
"leaf3_Ca.MgKPN","leaf3_Ca.MgKPN","leaf ionome [Ca | Mg,K,P,N]","ionome foliaire [Ca | Mg,K,P,N]"
"leaf3_MgK.PN","leaf3_MgK.PN","leaf ionome [Mg,K | P,N]","ionome foliaire [Mg,K | P,N]"
"leaf3_P.N","leaf3_P.N","leaf ionome [P | N]","ionome foliaire [P | N]"
"leaf3_Mg.K","leaf3_Mg.K","leaf ionome [Mg | K]","ionome foliaire [Mg | K]"
"pcpCum_0_45","pcpCum_0_45","Cumulated precipitations .-45","Précipitations cumulées .-45"
"DJCb_0_45","DJCb_0_45","Degree-day .-45","Degrés-jours .-45"
"pcpCum_46_end","pcpCum_46_end","Cumulated precipitations 46-.","Précipitations cumulées 46-."
"DJCb_46_end","DJCb_46_end","Degree-day 46-.","Degrés-jours 46-."
"SDI_0_45","SDI_0_45","SDI .-45","IDS .-45"
"SDI_46_end","SDI_46_end","SDI 46-.","IDS 46-."
"pcpCum","pcpCum","Cumulated precipitations","Précipitations cumulées"
"DJCb","GDD","Degree-day","Degrés-jours"
"SDI","SDI","SDI","IDS"
"etpKcCum","etpKcCum","ETP","ETP"
"totEv3po3j","totEv3po3j","Number of leaching events","Nombre d'événements de lessivage"
