NoEssai,NoBloc,NoTraitement,ID,ID_bl,NtotDose,PtotDose,KtotDose,test_type,RendVendable
1,1,1,1-1-1,1-1,0,190,270,N,18.9442
1,1,2,1-1-2,1-1,70,190,270,N,40.3518
1,1,3,1-1-3,1-1,100,190,270,N,33.0379
1,1,4,1-1-4,1-1,130,190,270,N,37.5505
1,1,5,1-1-5,1-1,160,190,270,N,46.0089
1,1,6,1-1-6,1-1,190,190,270,N,41.0167
1,1,7,1-1-7,1-1,220,190,270,N,46.7937
1,1,8,1-1-8,1-1,250,190,270,N,47.0117
1,2,1,1-2-1,1-2,0,190,270,N,15.1183
1,2,2,1-2-2,1-2,70,190,270,N,36.2643
1,2,3,1-2-3,1-2,100,190,270,N,44.8208
1,2,4,1-2-4,1-2,130,190,270,N,43.7962
1,2,5,1-2-5,1-2,160,190,270,N,42.9569
1,2,6,1-2-6,1-2,190,190,270,N,49.2462
1,2,7,1-2-7,1-2,220,190,270,N,41.8669
1,2,8,1-2-8,1-2,250,190,270,N,49.5841
1,3,1,1-3-1,1-3,0,190,270,N,26.5524
1,3,2,1-3-2,1-3,70,190,270,N,37.3761
1,3,3,1-3-3,1-3,100,190,270,N,43.3275
1,3,4,1-3-4,1-3,130,190,270,N,40.4935
1,3,5,1-3-5,1-3,160,190,270,N,43.8616
1,3,6,1-3-6,1-3,190,190,270,N,45.998
1,3,7,1-3-7,1-3,220,190,270,N,42.074
1,3,8,1-3-8,1-3,250,190,270,N,54.5109
10,1,1,10-1-1,10-1,0,190,270,N,15.88293474
10,1,2,10-1-2,10-1,70,190,270,N,22.57328432
10,1,3,10-1-3,10-1,100,190,270,N,34.74401806
10,1,4,10-1-4,10-1,130,190,270,N,21.65101714
10,1,5,10-1-5,10-1,160,190,270,N,23.18269622
10,1,6,10-1-6,10-1,190,190,270,N,21.16204683
10,1,7,10-1-7,10-1,220,190,270,N,27.41518703
10,1,8,10-1-8,10-1,250,190,270,N,58.01796
10,1,9,10-1-9,10-1,190,190,270,N,25.77060973
10,1,10,10-1-10,10-1,220,190,270,N,28.84394118
10,1,11,10-1-11,10-1,250,190,270,N,22.20405943
10,2,1,10-2-1,10-2,0,190,270,N,14.756742
10,2,2,10-2-2,10-2,70,190,270,N,29.9324025
10,2,3,10-2-3,10-2,100,190,270,N,16.236
10,2,4,10-2-4,10-2,130,190,270,N,26.625456
10,2,5,10-2-5,10-2,160,190,270,N,32.59592471
10,2,6,10-2-6,10-2,190,190,270,N,32.64134824
10,2,7,10-2-7,10-2,220,190,270,N,23.455575
10,2,8,10-2-8,10-2,250,190,270,N,43.758
10,2,9,10-2-9,10-2,190,190,270,N,22.32112235
10,2,10,10-2-10,10-2,220,190,270,N,29.87194737
10,2,11,10-2-11,10-2,250,190,270,N,33.91128
10,3,1,10-3-1,10-3,0,190,270,N,18.307401080000002
10,3,2,10-3-2,10-3,70,190,270,N,37.36344857
10,3,3,10-3-3,10-3,100,190,270,N,25.8687
10,3,4,10-3-4,10-3,130,190,270,N,28.694952
10,3,5,10-3-5,10-3,160,190,270,N,35.5212
10,3,6,10-3-6,10-3,190,190,270,N,21.43990588
10,3,7,10-3-7,10-3,220,190,270,N,41.27409
10,3,8,10-3-8,10-3,250,190,270,N,34.1795025
10,3,9,10-3-9,10-3,190,190,270,N,35.5308525
10,3,10,10-3-10,10-3,220,190,270,N,31.3609725
10,3,11,10-3-11,10-3,250,190,270,N,44.0154
12,1,1,12-1-1,12-1,0,144,78,N,23.70152571
12,1,2,12-1-2,12-1,50,144,78,N,27.38297571
12,1,3,12-1-3,12-1,100,144,78,N,29.95999071
12,1,4,12-1-4,12-1,150,144,78,N,28.31210357
12,2,1,12-2-1,12-2,0,144,78,N,29.36394643
12,2,2,12-2-2,12-2,50,144,78,N,35.53475786
12,2,3,12-2-3,12-2,100,144,78,N,37.13005286
12,2,4,12-2-4,12-2,150,144,78,N,32.23898357
12,3,1,12-3-1,12-3,0,144,78,N,26.50644
12,3,2,12-3-2,12-3,50,144,78,N,27.610875
12,3,3,12-3-3,12-3,100,144,78,N,26.68174714
12,3,4,12-3-4,12-3,150,144,78,N,26.01558
13,1,1,13-1-1,13-1,0,100,60,N,23.59634143
13,1,2,13-1-2,13-1,50,100,60,N,28.24198071
13,1,3,13-1-3,13-1,100,100,60,N,28.55753357
13,1,4,13-1-4,13-1,150,100,60,N,32.72984357
13,2,1,13-2-1,13-2,0,100,60,N,24.80596071
13,2,2,13-2-2,13-2,50,100,60,N,30.59109643
13,2,3,13-2-3,13-2,100,100,60,N,33.92193214
13,2,4,13-2-4,13-2,150,100,60,N,32.62465929
13,3,1,13-3-1,13-3,0,100,60,N,21.33487929
13,3,2,13-3-2,13-3,50,100,60,N,24.59559214
13,3,3,13-3-3,13-3,100,100,60,N,28.50494143
13,3,4,13-3-4,13-3,150,100,60,N,32.44935214
14,1,1,14-1-1,14-1,0,138,57,N,19.00329429
14,1,2,14-1-2,14-1,50,138,57,N,22.91264357
14,1,3,14-1-3,14-1,100,138,57,N,30.60862714
14,1,4,14-1-4,14-1,150,138,57,N,25.20916714
14,2,1,14-2-1,14-2,0,138,57,N,13.74408
14,2,2,14-2-2,14-2,50,138,57,N,18.23194286
14,2,3,14-2-3,14-2,100,138,57,N,19.19613214
14,2,4,14-2-4,14-2,150,138,57,N,24.82349143
14,3,1,14-3-1,14-3,0,138,57,N,13.46358857
14,3,2,14-3-2,14-3,50,138,57,N,20.59858929
14,3,3,14-3-3,14-3,100,138,57,N,20.86155
14,3,4,14-3-4,14-3,150,138,57,N,26.01558
15,1,1,15-1-1,15-1,0,215,215,N,13.07165436
15,1,2,15-1-2,15-1,50,215,215,N,26.74018792
15,1,3,15-1-3,15-1,100,215,215,N,37.14976107
15,1,4,15-1-4,15-1,125,215,215,N,36.6125698
15,1,5,15-1-5,15-1,150,215,215,N,36.55288188
15,1,6,15-1-6,15-1,175,215,215,N,37.40522537
15,2,1,15-2-1,15-2,0,215,215,N,13.84759732
15,2,2,15-2-2,15-2,50,215,215,N,26.20299664
15,2,3,15-2-3,15-2,100,215,215,N,32.74479262
15,2,4,15-2-4,15-2,125,215,215,N,41.2085396
15,2,5,15-2-5,15-2,150,215,215,N,32.50604094
15,2,6,15-2-6,15-2,175,215,215,N,33.4968604
15,3,1,15-3-1,15-3,0,215,215,N,13.29846846
15,3,2,15-3-2,15-3,50,215,215,N,26.28655973
15,3,3,15-3-3,15-3,100,215,215,N,36.9110094
15,3,4,15-3-4,15-3,125,215,215,N,43.46474295
15,3,5,15-3-5,15-3,150,215,215,N,40.4684094
