,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred
0,1-1-1,1,1,1-1,1,N,-0.07087,0.751558
1,1-1-2,1,1,1-1,2,N,0.983,0.992602
2,1-1-3,1,1,1-1,3,N,0.722511,1.169795
3,1-1-4,1,1,1-1,4,N,1.127329,1.26387
4,1-1-5,1,1,1-1,5,N,1.155713,1.287593
5,1-1-6,1,1,1-1,6,N,1.058466,1.2895
6,1-1-7,1,1,1-1,7,N,1.090038,1.348692
7,1-1-8,1,1,1-1,8,N,1.488235,1.372563
8,1-2-1,1,2,1-2,1,N,-0.332583,0.788711
9,1-2-2,1,2,1-2,2,N,0.433015,0.992167
10,1-2-3,1,2,1-2,3,N,1.315168,1.159635
11,1-2-4,1,2,1-2,4,N,1.294281,1.302246
12,1-2-5,1,2,1-2,5,N,1.030371,1.358352
13,1-2-6,1,2,1-2,6,N,0.636081,1.354855
14,1-2-7,1,2,1-2,7,N,1.108059,1.265295
15,1-2-8,1,2,1-2,8,N,1.184275,1.29435
16,1-3-1,1,3,1-3,1,N,0.107828,0.751558
17,1-3-2,1,3,1-3,2,N,0.971359,0.993388
18,1-3-3,1,3,1-3,3,N,1.170227,1.140135
19,1-3-4,1,3,1-3,4,N,0.924351,1.222452
20,1-3-5,1,3,1-3,5,N,0.801972,1.214068
21,1-3-6,1,3,1-3,6,N,0.961267,1.317969
22,1-3-7,1,3,1-3,7,N,0.443343,1.326826
23,1-3-8,1,3,1-3,8,N,1.119851,1.36188
24,2-1-1,2,1,2-1,1,N,0.052885,0.827643
25,2-1-2,2,1,2-1,2,N,0.7831,1.15273
26,2-1-3,2,1,2-1,3,N,1.302119,1.239818
27,2-1-4,2,1,2-1,4,N,1.524105,1.440499
28,2-1-5,2,1,2-1,5,N,1.919941,1.373375
29,2-1-6,2,1,2-1,6,N,1.43656,1.352751
30,2-1-7,2,1,2-1,7,N,2.14763,1.367628
31,2-1-8,2,1,2-1,8,N,1.377888,1.370983
32,2-2-1,2,2,2-2,1,N,-0.050799,0.802843
33,2-2-2,2,2,2-2,2,N,1.653074,1.098309
34,2-2-3,2,2,2-2,3,N,1.465275,1.345761
35,2-2-4,2,2,2-2,4,N,1.710919,1.369595
36,2-2-5,2,2,2-2,5,N,2.187066,1.459384
37,2-2-6,2,2,2-2,6,N,1.707595,1.433069
38,2-2-7,2,2,2-2,7,N,1.868396,1.45961
39,2-2-8,2,2,2-2,8,N,1.015208,1.431892
40,2-3-1,2,3,2-3,1,N,0.444627,0.742792
41,2-3-2,2,3,2-3,2,N,1.540265,1.09438
42,2-3-3,2,3,2-3,3,N,1.052894,1.315719
43,2-3-4,2,3,2-3,4,N,1.509166,1.36253
44,2-3-5,2,3,2-3,5,N,1.761312,1.402454
45,2-3-6,2,3,2-3,6,N,1.793354,1.370056
46,2-3-7,2,3,2-3,7,N,1.563577,1.443151
47,2-3-8,2,3,2-3,8,N,1.735205,1.443151
48,3-2-1,3,2,3-2,1,N,1.384274,1.175854
49,3-2-2,3,2,3-2,2,N,1.369744,1.125487
50,3-2-3,3,2,3-2,3,N,1.320008,1.071915
51,3-2-4,3,2,3-2,4,N,1.305397,1.071915
52,3-2-5,3,2,3-2,5,N,1.562705,1.02256
53,3-2-6,3,2,3-2,6,N,1.501527,1.02256
54,3-2-7,3,2,3-2,7,N,1.421786,0.984249
55,3-2-8,3,2,3-2,8,N,1.761681,0.984249
56,3-2-9,3,2,3-2,9,N,1.374186,1.02256
57,3-2-10,3,2,3-2,10,N,1.967761,0.984249
58,3-2-11,3,2,3-2,11,N,1.971489,0.984249
59,4-1-1,4,1,4-1,1,N,0.444627,-0.491481
60,4-1-2,4,1,4-1,2,N,-1.977613,-0.452288
61,4-1-3,4,1,4-1,3,N,0.444627,-0.482925
62,4-1-4,4,1,4-1,4,N,-2.075994,-0.480986
63,4-1-5,4,1,4-1,5,N,-0.464575,-0.332333
64,4-1-6,4,1,4-1,6,N,-1.867057,-0.131563
65,4-2-1,4,2,4-2,1,N,0.444627,-0.375717
66,4-2-2,4,2,4-2,2,N,-2.032592,-0.284899
67,4-2-3,4,2,4-2,3,N,-2.041398,-0.399922
