X,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred,index,tsizeMS_L,tsizeS_M,RendGros,RendMoy,RendPetit
0,1-1-1,1,1,1-1,1,N,-0.07087,0.751558,1,-0.5116220326530656,0.7509756852159083,3.5861,11.4123,3.9458
1,1-1-2,1,1,1-1,2,N,0.983,0.992602,2,0.5343256989799485,0.9002480796025754,17.876,17.5599,4.9159
2,1-1-3,1,1,1-1,3,N,0.722511,1.169795,3,0.2757949552167622,0.5457893832740573,13.0364,13.6795,6.322
3,1-1-4,1,1,1-1,4,N,1.127329,1.26387,4,0.6775700655935348,1.0552867733853029,17.658,16.241,3.6515
4,1-1-5,1,1,1-1,5,N,1.155713,1.287593,5,0.7057404131845393,0.9929475203036983,22.345,18.9987,4.6652
5,1-1-6,1,1,1-1,6,N,1.058466,1.2895,6,0.6092249741459735,0.9045002485016742,19.0859,17.1566,4.7742000000000004
6,1-1-7,1,1,1-1,7,N,1.090038,1.348692,7,0.6405589790139008,1.2161012353143148,20.601,22.2142,3.9785
7,1-1-8,1,1,1-1,8,N,1.488235,1.372563,8,1.035763096845504,0.6707079126419108,28.8959,13.0582,5.0576
8,1-2-1,1,2,1-2,1,N,-0.332583,0.788711,9,-0.7713675262191731,0.5092043998289458,2.3326,8.6001,4.1856
9,1-2-2,1,2,1-2,2,N,0.433015,0.992167,10,-0.011524371774081832,0.7947077411683235,10.8019,19.2167,6.2457
10,1-2-3,1,2,1-2,3,N,1.315168,1.159635,11,0.8639969933604833,0.8933790853126831,24.3942,15.9249,4.5017
11,1-2-4,1,2,1-2,4,N,1.294281,1.302246,12,0.8432668043938412,0.7273030064123155,24.2198,14.4207,5.1557
12,1-2-5,1,2,1-2,5,N,1.030371,1.358352,13,0.581340499570497,0.6682442951362548,20.5247,16.1538,6.2784
13,1-2-6,1,2,1-2,6,N,0.636081,1.354855,14,0.1900144407684604,0.7891340184203075,17.3528,24.0236,7.8698
14,1-2-7,1,2,1-2,7,N,1.108059,1.265295,15,0.6584446432516518,0.8344914629159217,20.3939,16.4263,5.0467
15,1-2-8,1,2,1-2,8,N,1.184275,1.29435,16,0.7340875591224338,1.1942079265817909,23.3696,22.127,4.0875
16,1-3-1,1,3,1-3,1,N,0.107828,0.751558,17,-0.33426738324093186,1.0335617403165562,5.4718,17.113,3.9676
17,1-3-2,1,3,1-3,2,N,0.971359,0.993388,18,0.5227726318480204,0.634008151813467,17.2874,14.2681,5.8206
18,1-3-3,1,3,1-3,3,N,1.170227,1.140135,19,0.7201450776146344,0.8801134518409373,21.7346,16.7642,4.8287
19,1-3-4,1,3,1-3,4,N,0.924351,1.222452,20,0.4761173606902137,0.7127525135007629,17.9087,16.5462,6.0386
20,1-3-5,1,3,1-3,5,N,0.801972,1.214068,21,0.3546588876839062,0.7112807551328425,17.8106,19.075,6.976
21,1-3-6,1,3,1-3,6,N,0.961267,1.317969,22,0.5127559256500517,0.8201003077364593,20.4266,19.4674,6.104
22,1-3-7,1,3,1-3,7,N,0.443343,1.326826,23,-0.0012737020953924871,0.8046661600442093,12.6113,22.3123,7.1504
23,1-3-8,1,3,1-3,8,N,1.119851,1.36188,24,0.6701479463161184,1.122750008861709,25.0918,24.4269,4.9922
24,2-1-1,2,1,2-1,1,N,0.052885,0.827643,25,-0.3887969756352867,0.058959701107047804,3.0847,5.1775,4.7633
25,2-1-2,2,1,2-1,2,N,0.7831,1.15273,26,0.3359284656514429,0.37045815614800354,12.0118,10.3441,6.1258
26,2-1-3,2,1,2-1,3,N,1.302119,1.239818,27,0.8510455439114819,0.8313597908092156,23.3696,14.8349,4.578
27,2-1-4,2,1,2-1,4,N,1.524105,1.440499,28,1.0713636012169556,0.3760367332271403,23.9255,8.4039,4.9377
28,2-1-5,2,1,2-1,5,N,1.919941,1.373375,29,1.4642234999571815,1.0415620825855854,36.2534,12.6004,2.8885
29,2-1-6,2,1,2-1,6,N,1.43656,1.352751,30,0.9844766615015568,0.9408025381793033,19.8925,11.5867,3.0629
30,2-1-7,2,1,2-1,7,N,2.14763,1.367628,31,1.6902011292044365,0.874149208744483,39.1092,9.156,2.6596
31,2-1-8,2,1,2-1,8,N,1.377888,1.370983,32,0.9262450659907588,0.3373197439548389,25.1245,10.2569,6.3656
32,2-2-1,2,2,2-2,1,N,-0.050799,0.802843,33,-0.49170104430929606,0.025599421209913042,2.6378,4.905,4.7306
33,2-2-2,2,2,2-2,2,N,1.653074,1.098309,34,1.1993624691815703,0.7739021419683989,26.3562,10.4858,3.5098
34,2-2-3,2,2,2-2,3,N,1.465275,1.345761,35,1.0129757623330125,0.5618139304176597,26.8031,11.5322,5.2102
35,2-2-4,2,2,2-2,4,N,1.710919,1.369595,36,1.256773307705967,0.8272396205209309,35.3814,13.625,4.2292
36,2-2-5,2,2,2-2,5,N,2.187066,1.459384,37,1.729340634588815,0.7322473636607474,36.5041,7.3684,2.616
37,2-2-6,2,2,2-2,6,N,1.707595,1.433069,38,1.2534735427612893,0.9501639515083318,26.7486,11.2815,2.943
38,2-2-7,2,2,2-2,7,N,1.868396,1.45961,39,1.413066052762705,1.1308473840646358,43.2512,17.0476,3.4444
39,2-2-8,2,2,2-2,8,N,1.015208,1.431892,40,0.5662919207851658,0.6882062680862858,17.6689,14.3662,5.4282
40,2-3-1,2,3,2-3,1,N,0.444627,0.742792,41,-4.5536491244391186e-17,0.007830719909453315,0,4.9486,4.8941
41,2-3-2,2,3,2-3,2,N,1.540265,1.09438,42,1.0874012351323916,0.8001655492000723,23.1189,10.7474,3.4662
42,2-3-3,2,3,2-3,3,N,1.052894,1.315719,43,0.6036947105414554,0.38310186225397286,14.279,8.938,5.1993
43,2-3-4,2,3,2-3,4,N,1.509166,1.36253,44,1.0565366891889367,0.44124734928058074,28.4599,10.6602,5.7116
44,2-3-5,2,3,2-3,5,N,1.761312,1.402454,45,1.3067870993622073,0.3320916055659292,24.0454,6.1367,3.8368
45,2-3-6,2,3,2-3,6,N,1.793354,1.370056,46,1.3385884483957187,0.6163663604828199,28.6561,8.6001,3.597
46,2-3-7,2,3,2-3,7,N,1.563577,1.443151,47,1.110538426830816,1.1007814978251176,27.7514,15.5107,3.27
47,2-3-8,2,3,2-3,8,N,1.735205,1.443151,48,1.2808760925437865,0.7585366660465406,24.5141,8.7309,2.9866
48,3-2-1,3,2,3-2,1,N,1.384274,1.175854,60,0.9325832134006772,0.7992440673022608,26.446125,14.85125,4.796
49,3-2-2,3,2,3-2,2,N,1.369744,1.125487,61,0.9181623405912804,0.8791473883936164,20.73725,12.5418125,3.6174375
50,3-2-3,3,2,3-2,3,N,1.320008,1.071915,62,0.8688001081943999,0.665959723192722,25.1994375,13.92475,5.4295625
51,3-2-4,3,2,3-2,4,N,1.305397,1.071915,63,0.8542995007005718,0.729174155377139,20.4306875,12.01725,4.2850625
52,3-2-5,3,2,3-2,5,N,1.562705,1.02256,64,1.109673154919665,1.2268495142376366,26.1395625,15.9889375,2.820375
53,3-2-6,3,2,3-2,6,N,1.501527,1.02256,65,1.0489547206507956,0.7949725233785073,29.3686875,14.2585625,4.6325
54,3-2-7,3,2,3-2,7,N,1.421786,0.984249,66,0.9698135595649092,0.749722255937819,26.5755625,13.7680625,4.76875
55,3-2-8,3,2,3-2,8,N,1.761681,0.984249,67,1.3071528411724247,1.3228185122249225,31.4124375,16.145625,2.4865625
56,3-2-9,3,2,3-2,9,N,1.374186,1.02256,68,0.9225717067857055,0.7698217287525984,31.90975,17.767,5.981375
57,3-2-10,3,2,3-2,10,N,1.967761,0.984249,69,1.5116837549655011,1.528683692767872,34.784625,16.0979375,1.853
58,3-2-11,3,2,3-2,11,N,1.971489,0.984249,70,1.515383609614211,1.3944872531844856,29.5594375,12.385125,1.7235625
59,4-1-1,4,1,4-1,1,N,0.444627,-0.491481,82,4.163336342344337e-17,0.3748133228316485,0,12.73740201,7.496802685
60,4-1-2,4,1,4-1,2,N,-1.977613,-0.452288,83,-2.4040308623808104,0.10808207374970424,0.895318792,18.36000403,15.75761074
61,4-1-3,4,1,4-1,3,N,0.444627,-0.482925,84,4.5102810375396984e-17,-0.03456824488842433,0,17.63181141,18.51519262
62,4-1-4,4,1,4-1,4,N,-2.075994,-0.480986,85,-2.501671646301699,0.3761850347607585,0.931131544,26.0119953,15.28010738
