,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
0,1-1-1,1,1,1-1,1,N
1,1-1-2,1,1,1-1,2,N
2,1-1-3,1,1,1-1,3,N
3,1-1-4,1,1,1-1,4,N
4,1-1-5,1,1,1-1,5,N
5,1-1-6,1,1,1-1,6,N
6,1-1-7,1,1,1-1,7,N
7,1-1-8,1,1,1-1,8,N
8,1-2-1,1,2,1-2,1,N
9,1-2-2,1,2,1-2,2,N
10,1-2-3,1,2,1-2,3,N
11,1-2-4,1,2,1-2,4,N
12,1-2-5,1,2,1-2,5,N
13,1-2-6,1,2,1-2,6,N
14,1-2-7,1,2,1-2,7,N
15,1-2-8,1,2,1-2,8,N
16,1-3-1,1,3,1-3,1,N
17,1-3-2,1,3,1-3,2,N
18,1-3-3,1,3,1-3,3,N
19,1-3-4,1,3,1-3,4,N
20,1-3-5,1,3,1-3,5,N
21,1-3-6,1,3,1-3,6,N
22,1-3-7,1,3,1-3,7,N
23,1-3-8,1,3,1-3,8,N
54,10-1-1,10,1,10-1,1,N
55,10-1-2,10,1,10-1,2,N
56,10-1-3,10,1,10-1,3,N
57,10-1-4,10,1,10-1,4,N
58,10-1-5,10,1,10-1,5,N
59,10-1-6,10,1,10-1,6,N
60,10-1-7,10,1,10-1,7,N
61,10-1-8,10,1,10-1,8,N
62,10-1-9,10,1,10-1,9,N
63,10-1-10,10,1,10-1,10,N
64,10-1-11,10,1,10-1,11,N
65,10-2-1,10,2,10-2,1,N
66,10-2-2,10,2,10-2,2,N
67,10-2-3,10,2,10-2,3,N
68,10-2-4,10,2,10-2,4,N
69,10-2-5,10,2,10-2,5,N
70,10-2-6,10,2,10-2,6,N
71,10-2-7,10,2,10-2,7,N
72,10-2-8,10,2,10-2,8,N
73,10-2-9,10,2,10-2,9,N
74,10-2-10,10,2,10-2,10,N
75,10-2-11,10,2,10-2,11,N
76,10-3-1,10,3,10-3,1,N
77,10-3-2,10,3,10-3,2,N
78,10-3-3,10,3,10-3,3,N
79,10-3-4,10,3,10-3,4,N
80,10-3-5,10,3,10-3,5,N
81,10-3-6,10,3,10-3,6,N
82,10-3-7,10,3,10-3,7,N
83,10-3-8,10,3,10-3,8,N
84,10-3-9,10,3,10-3,9,N
85,10-3-10,10,3,10-3,10,N
86,10-3-11,10,3,10-3,11,N
87,12-1-1,12,1,12-1,1,N
88,12-1-2,12,1,12-1,2,N
89,12-1-3,12,1,12-1,3,N
90,12-1-4,12,1,12-1,4,N
95,12-3-1,12,3,12-3,1,N
96,12-3-2,12,3,12-3,2,N
97,12-3-3,12,3,12-3,3,N
98,12-3-4,12,3,12-3,4,N
99,13-1-1,13,1,13-1,1,N
100,13-1-2,13,1,13-1,2,N
101,13-1-3,13,1,13-1,3,N
102,13-1-4,13,1,13-1,4,N
103,13-2-1,13,2,13-2,1,N
104,13-2-2,13,2,13-2,2,N
105,13-2-3,13,2,13-2,3,N
106,13-2-4,13,2,13-2,4,N
107,13-3-1,13,3,13-3,1,N
108,13-3-2,13,3,13-3,2,N
109,13-3-3,13,3,13-3,3,N
110,13-3-4,13,3,13-3,4,N
111,14-1-1,14,1,14-1,1,N
112,14-1-2,14,1,14-1,2,N
113,14-1-3,14,1,14-1,3,N
114,14-1-4,14,1,14-1,4,N
115,14-2-1,14,2,14-2,1,N
116,14-2-2,14,2,14-2,2,N
117,14-2-3,14,2,14-2,3,N
118,14-2-4,14,2,14-2,4,N
119,14-3-1,14,3,14-3,1,N
120,14-3-2,14,3,14-3,2,N
121,14-3-3,14,3,14-3,3,N
122,14-3-4,14,3,14-3,4,N
123,15-1-1,15,1,15-1,1,N
124,15-1-2,15,1,15-1,2,N
125,15-1-3,15,1,15-1,3,N
126,15-1-4,15,1,15-1,4,N
127,15-1-5,15,1,15-1,5,N
128,15-1-6,15,1,15-1,6,N
129,16-1-1,16,1,16-1,1,N
130,16-1-2,16,1,16-1,2,N
131,16-1-3,16,1,16-1,3,N
132,16-1-4,16,1,16-1,4,N
133,16-1-5,16,1,16-1,5,N
134,16-1-6,16,1,16-1,6,N
135,17-1-1,17,1,17-1,1,N
136,17-1-2,17,1,17-1,2,NPK
137,17-1-3,17,1,17-1,3,NPK
138,17-1-4,17,1,17-1,4,NPK
139,17-1-5,17,1,17-1,5,NPK
140,17-1-6,17,1,17-1,6,NPK
141,17-1-7,17,1,17-1,7,NPK
142,17-1-8,17,1,17-1,8,NPK
143,17-1-9,17,1,17-1,9,NPK
144,18-1-1,18,1,18-1,1,N
145,18-1-2,18,1,18-1,2,N
146,18-1-3,18,1,18-1,3,N
147,18-1-4,18,1,18-1,4,N
148,18-1-5,18,1,18-1,5,N
149,18-1-6,18,1,18-1,6,N
150,19-1-1,19,1,19-1,1,N
151,19-1-2,19,1,19-1,2,NPK
152,19-1-3,19,1,19-1,3,NPK
153,19-1-4,19,1,19-1,4,NPK
154,19-1-5,19,1,19-1,5,NPK
155,19-1-6,19,1,19-1,6,NPK
156,19-1-7,19,1,19-1,7,NPK
157,19-1-8,19,1,19-1,8,NPK
158,19-1-9,19,1,19-1,9,NPK
159,20-1-1,20,1,20-1,1,N
160,20-1-2,20,1,20-1,2,N
161,20-1-3,20,1,20-1,3,N
162,20-1-4,20,1,20-1,4,N
163,20-1-5,20,1,20-1,5,N
164,20-1-6,20,1,20-1,6,N
185,24-1-1,24,1,24-1,1,N
186,24-1-2,24,1,24-1,2,N
187,24-1-3,24,1,24-1,3,N
188,24-1-4,24,1,24-1,4,N
189,24-1-5,24,1,24-1,5,N
190,24-1-6,24,1,24-1,6,N
191,24-1-7,24,1,24-1,7,N
192,24-1-8,24,1,24-1,8,N
193,24-2-1,24,2,24-2,1,N
194,24-2-2,24,2,24-2,2,N
195,24-2-3,24,2,24-2,3,N
196,24-2-4,24,2,24-2,4,N
197,24-2-5,24,2,24-2,5,N
198,24-2-6,24,2,24-2,6,N
199,24-2-7,24,2,24-2,7,N
200,24-2-8,24,2,24-2,8,N
201,24-3-1,24,3,24-3,1,N
202,24-3-2,24,3,24-3,2,N
203,24-3-3,24,3,24-3,3,N
204,24-3-4,24,3,24-3,4,N
205,24-3-5,24,3,24-3,5,N
206,24-3-6,24,3,24-3,6,N
207,24-3-7,24,3,24-3,7,N
208,24-3-8,24,3,24-3,8,N
209,25-1-1,25,1,25-1,1,N
210,25-1-2,25,1,25-1,2,N
211,25-1-3,25,1,25-1,3,N
212,25-1-4,25,1,25-1,4,N
213,25-1-5,25,1,25-1,5,N
