Annee,n_samples,n_trials,percent,min_nblocs,max_nblocs,min_ntreat,max_ntreat,min_GS,mean_GS,max_GS,min_T,mean_T,max_T,min_PPT,mean_PPT,max_PPT,min_GDD,mean_GDD,max_GDD,min_RV,mean_RV,max_RV
1979,10,1,0.16911889058007779,3,3,4,4,116,116,116,15.758525741405387,15.758525741405387,15.758525741405387,365.48,365.48,365.48,1505.2,1505.2,1505.2,8.5,25,31.1
1980,10,1,0.16911889058007779,3,3,4,4,116,116,116,16.11900130381763,16.11900130381763,16.11900130381763,354.92,354.92,354.92,1565,1565,1565,5.6,25.08,32.9
1981,30,3,0.5073566717402334,6,6,4,4,116,116,116,14.831623931623932,15.541599786584285,16.309642977852405,383.66,405.38666666666666,420.98,1569.48,1721.1200000000001,1871.88,14.3,29.616666666666667,40.1
1987,8,1,0.13529511246406223,2,2,4,4,110,110,110,16.4742932022932,16.4742932022932,16.4742932022932,437.06,437.06,437.06,1815.76,1815.76,1815.76,16.98,34.585,44.23
1993,144,6,2.43531202435312,3,3,27,27,121,124.9375,127,16.451433952039018,16.618727912435162,16.796935483870968,412.28000000000003,419.04375,424.62,1952.96,2046.7549999999999,2082.16,14.07103825,36.68887434236111,53.30555556
1994,84,3,1.4205986808726534,3,3,10,10,124,124.64285714285714,125,17.207006984126984,17.23103766951942,17.274292903225806,439.32,440.6571428571429,441.40000000000003,2145.36,2151.0557142857147,2154.2200000000003,7.468123862,36.03903742764286,51.93989071
1995,81,3,1.36986301369863,3,3,9,9,106,108.66666666666667,114,17.52958352402746,17.70926751100686,17.799109504496563,444.46,450.86,463.66,1890.4,1927.6000000000001,2002,15.51912568,27.612831410740743,40.27322404
1996,258,8,4.363267376966007,6,6,11,11,102,120.68604651162791,134,15.961559109080525,17.4568078843153,18.682964130645594,371.4,445.92348837209306,529.12,1631,2099.052093023256,2264.86,3.333333333,34.24359406102326,58.94808743
1997,306,8,5.175038051750381,6,6,22,22,98,116.33333333333333,123,15.768017176997759,17.157823517719617,18.810047412904556,343.84000000000003,470.6990196078431,537.64,1627.2800000000002,1990.2317647058824,2116.28,2.535918367,26.87886841579085,46.434
1998,280,14,4.735328936242178,6,6,5,5,107,122.77142857142857,131,17.067172119068672,17.643969690923058,17.94490755449926,358.68,387.74742857142854,443.46,1983.14,2081.409142857143,2132.68,4.295081967,33.63735901231072,61.05
1999,431,18,7.289024184001353,6,6,14,14,120,127.80510440835266,133,16.98876859504132,17.588068164313565,18.261825455182073,377.4,437.7487703016241,506.56,2042.16,2101.605893271462,2165.4,10.60765027,31.051685672296983,58.3
2000,184,8,3.1117875866734312,6,6,5,5,122,122,122,18.72809791961856,18.72809791961856,18.72809791961856,279.8,279.8,279.8,1833.22,1833.22,1833.22,13.96721311,35.972095509565214,48.86775956
2001,152,8,2.5706071368171823,4,4,5,5,115,129.73684210526315,131,17.321044909289185,17.36988883404852,17.939734622907455,379.04,451.87684210526317,458.12,2055.54,2082.6557894736843,2084.98,12.287617,29.236865631973686,42.918132
2002,183,8,3.0948756976154237,4,4,11,11,98,117.35519125683061,137,16.375478245253202,16.770484340842156,17.749182734951383,308.12,395.2575956284153,504.18,1571.58,1885.0589071038253,2225.96,13.8579235,32.61908862076503,68.1756075
2003,348,21,5.885337392186707,4,4,10,10,98,112.35057471264368,122,16.51101769222336,17.367206714793607,18.508101208568533,284.78,358.9809195402299,406.68,1462.74,1876.1807471264367,2111.08,7.901639344,29.288209949899425,63.7432
2004,267,11,4.5154743784880775,3,3,11,11,98,121.40449438202248,133,16.472651368403966,16.950833515970007,17.87476923076923,281.04,381.2110112359551,490.3,1522.24,1946.8323595505617,2323.72,10.04547685,36.10678759037453,65.78151342
2005,574,20,9.707424319296466,4,4,11,11,110,124.47038327526133,133,15.98274561885164,16.772925045862852,17.648464313054617,311.02,388.6643554006969,529.72,1613.94,2027.4332055749128,2259.26,6.403484,30.11935687970732,58.01796
2006,186,10,3.145611364789447,3,3,10,10,104,116.24193548387096,134,16.55007280172404,17.357941671531066,17.99642184557439,0,246.4241935483871,431.1,845.84,1514.7329032258065,2379.88,4.070716107,28.29807054160215,51.245992
2007,297,15,5.0228310502283104,3,3,12,12,108,120.23232323232324,139,15.837842632500436,17.028210465814887,18.183168947297116,325.28,417.3420202020202,523.62,1602.3400000000001,1963.0600000000002,2293.96,10.42151074,35.7578255489899,51.88351361
2008,107,6,1.8095721292068323,3,3,7,7,116,117.6822429906542,120,15.562677511061318,16.878657862879866,17.833804892425583,398.62,431.10336448598133,454.68,1475.72,1821.3091588785046,2072.14,4.761965,24.148340716280373,45.30684804
2009,118,6,1.9956029088449179,5,5,8,8,130,135.33898305084745,143,16.008579202022204,16.663342324757405,17.235441176470587,476.08,536.4862711864407,580.94,1939.02,2196.603050847458,2421.8,16.4,43.79469510576271,83.2
2010,154,8,2.604430914933198,4,4,8,8,110,119.66233766233766,129,16.01102433862434,17.056657080743154,17.649582709326072,367.94,458.83181818181816,505.02000000000004,1278.66,1931.1222077922077,2243.28,13.223727,32.7306250425974,54.00603942
2011,261,13,4.41400304414003,4,4,8,8,103,110.68582375478927,119,11.859249307437123,16.933161244002694,18.414424108254206,246,392.3609195402299,457.90000000000003,1146.3,1717.5734099616857,2071.08,14.00164065,32.389974376091956,56.2838865
2012,268,13,4.532386267546085,4,4,8,8,103,121.25,136,15.37790784749888,16.932690682657135,17.652476817470987,311.5,468.6505223880597,545.02,1087.94,1882.4866417910448,2291.56,5.136165,36.02612052488806,78.74775071
2013,344,16,5.817689835954676,4,4,8,8,91,119.25581395348837,136,14.70788214086581,16.957660704988946,18.173548347677762,280.24,434.8460465116279,505.28000000000003,1093.74,1766.9386046511627,2231.86,10.93920844,35.649670922296515,86.15722333
2014,535,25,9.047860646034161,4,4,10,10,94,116.98130841121495,133,11.748248443705997,17.313347069659383,19.903960746637328,61.67999999999999,339.8816822429907,574.72,340.84000000000003,1560.7040747663552,2330.1,5.621215,36.54708334507103,60.39669176
2015,33,2,0.5580923389142567,3,3,6,6,125,128.27272727272728,131,18.621899766899766,18.839510225508587,19.10064277583917,357.72,420.30545454545455,472.46,2312.7599999999998,2375.8254545454547,2428.38,26.53,48.154242424242426,68.24
2016,48,5,0.8117706747843734,3,3,6,6,115,125.16666666666667,136,16.673672160422345,17.678209984901606,18.605857897827363,389.34000000000003,463.7141666666667,515.32,653.92,1684.89,2430.2000000000003,12.45,34.5175,58.02
2017,212,12,3.585320480297649,3,3,8,8,106,119.90566037735849,135,16.649046057931773,17.37066197899324,19.009217116540416,279.2,377.2143396226415,440.74,638.92,1512.1941509433964,2093.7400000000002,17.03,39.07014150943396,70.93
