,tsizeS_M,PtotDose,P,Sample
4189,1.507288115019476,0.0,0.0,412
4190,1.3622356017298003,33.0,14.388,412
4191,1.5692138323765956,66.0,28.776,412
4192,1.1944758209123656,100.0,43.6,412
4193,1.2231305364695535,133.0,57.988,412
4194,1.070441984179637,133.0,57.988,412
4195,1.1166153438361697,166.0,72.376,412
4196,1.0518068451573963,200.0,87.2,412
4197,1.0480444752433733,100.0,43.6,412
4198,0.916621040585352,0.0,0.0,412
4199,1.1165065495105542,33.0,14.388,412
4200,1.0668553081868095,66.0,28.776,412
4201,1.1282911102528583,100.0,43.6,412
4202,1.2628180049903863,133.0,57.988,412
4203,1.3667229046226494,133.0,57.988,412
4204,1.3196680972551331,166.0,72.376,412
4205,1.4382404621804343,200.0,87.2,412
4206,1.6497845906067303,100.0,43.6,412
4207,1.1768480853058332,0.0,0.0,412
4208,1.1944379174640676,33.0,14.388,412
4209,1.4228634525708983,66.0,28.776,412
4210,1.3426638776133455,100.0,43.6,412
4211,1.2260280461091255,133.0,57.988,412
4212,1.2502282342195792,133.0,57.988,412
4213,1.1869704929631668,166.0,72.376,412
4214,1.4437780318555218,200.0,87.2,412
4215,1.5215256454369053,100.0,43.6,412
