,NtotDose,PtotDose,KtotDose,yield_knn,yield_rf,yield_nn,yield_gp,cost,gp_revenue,gp_benefit
0,0.0,-0.19842677557931385,-0.926924156250261,25.884305011857272,19.48666386007066,14.528789249740619,24.90493750266818,0.0,6226.234375667045,6226.234375667045
1,1.0,-0.19842677557931385,-0.926924156250261,25.88699103005043,19.48666386007066,14.590144342095932,24.950429013498827,1.2,6237.6072533747065,6236.407253374707
2,2.0,-0.19842677557931385,-0.926924156250261,25.889716584368564,19.48666386007066,14.651889326622616,24.996765114628694,2.4,6249.191278657174,6246.791278657174
3,3.0,-0.19842677557931385,-0.926924156250261,25.892481686122927,19.48666386007066,14.714038464125029,25.043939012272467,3.5999999999999996,6260.984753068117,6257.384753068117
4,4.0,-0.19842677557931385,-0.926924156250261,26.057188590736573,19.48666386007066,14.776605210543423,25.09194373685345,4.8,6272.985934213363,6268.185934213363
5,5.0,-0.19842677557931385,-0.926924156250261,26.060224884257796,19.48666386007066,14.839602194956587,25.140772145431427,6.0,6285.193036357857,6279.193036357857
6,6.0,-0.19842677557931385,-0.926924156250261,26.063303128888162,19.48666386007066,14.903041199623665,25.190416924187232,7.199999999999999,6297.604231046808,6290.4042310468085
7,7.0,-0.19842677557931385,-0.926924156250261,26.066423270808503,19.48666386007066,14.966933142090095,25.240870590964672,8.4,6310.217647741168,6301.817647741168
8,8.0,-0.19842677557931385,-0.926924156250261,26.32823804919308,19.48666386007066,15.031288059372375,25.292125497867378,9.6,6323.031374466845,6313.431374466844
9,9.0,-0.19842677557931385,-0.926924156250261,26.33179005327709,19.48666386007066,15.09611509422793,25.344173833908467,10.799999999999999,6336.0434584771165,6325.243458477116
10,10.0,-0.19842677557931385,-0.926924156250261,26.33538723192001,19.48666386007066,15.161422483506687,25.39700762771352,12.0,6349.25190692838,6337.25190692838
11,11.0,-0.19842677557931385,-0.926924156250261,26.33902942735897,19.48666386007066,15.227217548573368,25.45061875027305,13.2,6362.6546875682625,6349.454687568263
12,12.0,-0.19842677557931385,-0.926924156250261,26.34271646226472,19.48666386007066,15.293506687780265,25.50499891774395,14.399999999999999,6376.249729435987,6361.849729435988
13,13.0,-0.19842677557931385,-0.926924156250261,26.34644813944096,19.48666386007066,15.360295370963605,25.560139694299053,15.6,6390.0349235747635,6374.434923574763
14,14.0,-0.19842677557931385,-0.926924156250261,26.35022424153326,19.48666386007066,15.427588135928975,25.61603249502143,16.8,6404.008123755357,6387.208123755357
15,15.0,-0.19842677557931385,-0.926924156250261,26.35404453074807,19.48666386007066,15.495388586884637,25.672668588842868,18.0,6418.167147210717,6400.167147210717
16,16.0,-0.19842677557931385,-0.926924156250261,26.35790874858258,19.48666386007066,15.563699394775519,25.730039101525758,19.2,6432.50977538144,6413.30977538144
17,17.0,-0.19842677557931385,-0.926924156250261,26.361816615566248,19.48666386007066,15.632522299465528,25.788135018684443,20.4,6447.033754671111,6426.633754671111
18,18.0,-0.19842677557931385,-0.926924156250261,26.3657678310145,22.825442199591414,15.701858113710255,25.846947188845903,21.599999999999998,6461.736797211475,6440.136797211475
19,19.0,-0.19842677557931385,-0.926924156250261,26.36976207279551,22.825442199591414,15.771706728858657,25.90646632654854,22.8,6476.616581637135,6453.816581637135
20,20.0,-0.19842677557931385,-0.926924156250261,26.373798997110686,22.825442199591414,15.842067122217795,25.966683015475084,24.0,6491.670753868771,6467.670753868771
21,21.0,-0.19842677557931385,-0.926924156250261,26.377878238289654,22.825442199591414,15.91293736601244,26.027587711621006,25.2,6506.896927905252,6481.696927905252
22,22.0,-0.19842677557931385,-0.926924156250261,26.381999408600436,22.825442199591414,15.984314637868184,26.089170746493693,26.4,6522.292686623423,6495.892686623423
23,23.0,-0.19842677557931385,-0.926924156250261,26.386162098075566,23.40531678824398,16.05619523274522,26.151422330342413,27.599999999999998,6537.855582585603,6510.2555825856025
24,24.0,-0.19842677557931385,-0.926924156250261,26.39036587435493,23.40531678824398,16.128574576248575,26.21433255541705,28.799999999999997,6553.583138854263,6524.783138854263
25,25.0,-0.19842677557931385,-0.926924156250261,26.394610282545994,23.40531678824398,16.201447239239425,26.277891399253154,30.0,6569.472849813288,6539.472849813288
26,26.0,-0.19842677557931385,-0.926924156250261,26.404626409347976,23.482683227399775,16.274806953672538,26.34208872798251,31.2,6585.522181995628,6554.322181995628
27,27.0,-0.19842677557931385,-0.926924156250261,26.408959862164064,23.482683227399775,16.348646629584437,26.406914299666127,32.4,6601.728574916532,6569.3285749165325
28,28.0,-0.19842677557931385,-0.926924156250261,26.413331704073396,23.482683227399775,16.422958373157847,26.4723577676496,33.6,6618.089441912401,6584.4894419124
29,29.0,-0.19842677557931385,-0.926924156250261,26.41774138130593,23.482683227399775,16.497733505789395,26.538408683937373,34.8,6634.6021709843435,6599.802170984343
30,30.0,-0.19842677557931385,-0.926924156250261,26.4221883176876,23.482683227399775,16.572962584088444,26.60505650258437,36.0,6651.264125646093,6615.264125646093
31,31.0,-0.19842677557931385,-0.926924156250261,26.42667191463037,23.482683227399775,16.64863542073735,26.672290583105053,37.199999999999996,6668.072645776263,6630.872645776263
32,32.0,-0.19842677557931385,-0.926924156250261,26.43119155114397,23.482683227399775,16.724741106145412,26.74010019389522,38.4,6685.025048473805,6646.625048473806
33,33.0,-0.19842677557931385,-0.926924156250261,26.43574658386987,23.482683227399775,16.801268030831263,26.808474515666816,39.6,6702.118628916704,6662.518628916704
34,34.0,-0.19842677557931385,-0.926924156250261,26.440336347138107,23.482683227399775,16.87820390847123,26.877402644893607,40.8,6719.350661223401,6678.550661223401
35,35.0,-0.19842677557931385,-0.926924156250261,26.444960153047468,23.482683227399775,16.955535799554234,26.946873597264634,42.0,6736.718399316159,6694.718399316159
36,36.0,-0.19842677557931385,-0.926924156250261,26.449617291569655,23.482683227399775,17.033250135586844,27.016876311146202,43.199999999999996,6754.219077786551,6711.019077786551
37,37.0,-0.19842677557931385,-0.926924156250261,26.45430703067783,23.482683227399775,17.11133274379524,27.087399651047242,44.4,6771.849912761811,6727.449912761811
38,38.0,-0.19842677557931385,-0.926924156250261,26.45902861650008,23.482683227399775,17.189768872274716,27.158432411090125,45.6,6789.608102772531,6744.008102772531
39,39.0,-0.19842677557931385,-0.926924156250261,26.4637812734982,23.482683227399775,17.268543215540106,27.229963318481538,46.8,6807.490829620385,6760.690829620385
40,40.0,-0.19842677557931385,-0.926924156250261,26.46856420467219,23.482683227399775,17.34763994043464,27.301981036984035,48.0,6825.495259246009,6777.495259246009
41,41.0,-0.19842677557931385,-0.926924156250261,26.473376591790824,23.482683227399775,17.427042712357967,27.37447417038622,49.199999999999996,6843.618542596555,6794.418542596555
42,42.0,-0.19842677557931385,-0.926924156250261,26.47821759564855,23.482683227399775,17.506734721777498,27.44743126596838,50.4,6861.857816492095,6811.457816492095
43,43.0,-0.19842677557931385,-0.926924156250261,26.483086356349084,23.482683227399775,17.586698710990948,27.520840817964018,51.6,6880.210204491004,6828.610204491004
44,44.0,-0.19842677557931385,-0.926924156250261,26.487981993615797,23.482683227399775,17.666917001110995,27.594691271013755,52.8,6898.672817753439,6845.8728177534385
